Key_Dataset;Key_Run;Key_Fold;Key_Scheme;Key_Scheme_options;Key_Scheme_version_ID;Date_time;Number_of_training_instances;Number_of_testing_instances;Number_correct;Number_incorrect;Number_unclassified;Percent_correct;Percent_incorrect;Percent_unclassified;Kappa_statistic;Mean_absolute_error;Root_mean_squared_error;Relative_absolute_error;Root_relative_squared_error;SF_prior_entropy;SF_scheme_entropy;SF_entropy_gain;SF_mean_prior_entropy;SF_mean_scheme_entropy;SF_mean_entropy_gain;KB_information;KB_mean_information;KB_relative_information;True_positive_rate;Num_true_positives;False_positive_rate;Num_false_positives;True_negative_rate;Num_true_negatives;False_negative_rate;Num_false_negatives;IR_precision;IR_recall;F_measure;Matthews_correlation;Area_under_ROC;Area_under_PRC;Weighted_avg_true_positive_rate;Weighted_avg_false_positive_rate;Weighted_avg_true_negative_rate;Weighted_avg_false_negative_rate;Weighted_avg_IR_precision;Weighted_avg_IR_recall;Weighted_avg_F_measure;Weighted_avg_matthews_correlation;Weighted_avg_area_under_ROC;Weighted_avg_area_under_PRC;Unweighted_macro_avg_F_measure;Unweighted_micro_avg_F_measure;Elapsed_Time_training;Elapsed_Time_testing;UserCPU_Time_training;UserCPU_Time_testing;UserCPU_Time_millis_training;UserCPU_Time_millis_testing;Serialized_Model_Size;Serialized_Train_Set_Size;Serialized_Test_Set_Size;Coverage_of_Test_Cases_By_Regions;Size_of_Predicted_Regions;Summary;measureExtraArcs;measureMissingArcs;measureReversedArcs;measureDivergence;measureBayesScore;measureBDeuScore;measureMDLScore;measureAICScore;measureEntropyScore
iris;1;1;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.041668201;0.187372735;9.37534512;39.74775947;23.77443751;3.233376372;20.54106114;1.584962501;0.215558425;1.369404076;21.70363314;1.446908876;91.28978606;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0.015;0;0.015625;0;15.625;0;8227;10633;2353;100;35.55555556;?;0;0;0;0;-377.5382334;-423.6788799;-437.3276114;-399.5590392;-373.5590392
iris;1;2;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.001132925;0.00200561;0.254908157;0.42545417;23.77443751;0.036843748;23.73759376;1.584962501;0.00245625;1.582506251;23.73759376;1.582506251;99.84502789;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0.016;0;0.015625;0;15.625;0;8227;10633;2353;100;33.33333333;?;0;0;0;0;-436.3087342;-480.6858913;-491.3411857;-453.5726136;-427.5726136
iris;1;3;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.002118882;0.003266574;0.476748354;0.692944954;23.77443751;0.06895429;23.70548322;1.584962501;0.004596953;1.580365548;23.70548322;1.580365548;99.70996458;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8101;10633;2353;100;33.33333333;?;0;0;0;0;-324.2821221;-354.8497912;-367.104831;-338.0520832;-318.0520832
iris;1;4;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.002082648;0.003993755;0.468595867;0.84720347;23.77443751;0.067865121;23.70657239;1.584962501;0.004524341;1.580438159;23.70657239;1.580438159;99.71454584;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8227;10633;2353;100;33.33333333;?;0;0;0;0;-420.2400331;-466.3806796;-477.3087427;-439.5401706;-413.5401706
iris;1;5;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.063668488;0.227880665;14.32540981;48.34078896;23.77443751;9.792492203;13.98194531;1.584962501;0.652832814;0.932129687;20.80561452;1.387040968;87.51254162;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.986666667;0.977777778;0.932659933;0.933333333;0;0;0;0;0;0;8164;10633;2353;93.33333333;35.55555556;?;0;0;0;0;-382.1723944;-419.6448075;-430.9510601;-397.5404002;-374.5404002
iris;1;6;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.052917093;0.173804429;11.90634602;36.86948711;23.77443751;2.648780459;21.12565705;1.584962501;0.176585364;1.408377137;21.22076475;1.41471765;89.25874582;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0;0;0;0;0;0;8227;10633;2353;100;37.77777778;?;0;0;0;0;-438.7959567;-483.1731138;-493.4286251;-455.660053;-429.660053
iris;1;7;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.07718559;0.259080886;17.36675766;54.95935544;23.77443751;16.3125744;7.461863107;1.584962501;1.08750496;0.49745754;19.88753704;1.325835803;83.65092564;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.866666667;0.866666667;0.866666667;0.8;0.94;0.882222222;0.866666667;0.866666667;0.015;0;0.015625;0;15.625;0;8103;10633;2353;93.33333333;35.55555556;?;0;0;0;0;-330.0632091;-360.6308781;-373.3652455;-344.3124977;-324.3124977
iris;1;8;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.077207583;0.242951496;17.37170623;51.53779507;23.77443751;12.45067659;11.32376092;1.584962501;0.830045106;0.754917394;20.14960528;1.343307019;84.75323662;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.866666667;0.866666667;0.866666667;0.8;0.94;0.873333333;0.866666667;0.866666667;0;0;0;0;0;0;8227;10633;2353;93.33333333;40;?;0;0;0;0;-412.9255674;-457.3027245;-469.3288847;-431.5603126;-405.5603126
iris;1;9;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;12;3;0;80;20;0;0.7;0.09619864;0.260228361;21.64469391;55.20277156;23.77443751;5.459439654;18.31499786;1.584962501;0.363962644;1.220999857;18.70524376;1.247016251;78.67796558;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.8;0.1;0.9;0.2;0.805555556;0.8;0.797979798;0.703450687;0.973333333;0.956507937;0.797979798;0.8;0;0;0;0;0;0;8162;10633;2353;100;40;?;0;0;0;0;-362.5786225;-400.0510356;-412.2907557;-378.8800957;-355.8800957
iris;1;10;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.039646496;0.151793523;8.920461547;32.20026875;23.77443751;2.04939319;21.72504432;1.584962501;0.136626213;1.448336288;21.8221791;1.45481194;91.78841387;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0;0;0;0;0;0;8164;10633;2353;100;37.77777778;?;0;0;0;0;-367.2524222;-404.7248353;-417.2907861;-383.8801262;-360.8801262
iris;2;1;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.040104177;0.175208311;9.023439812;37.16729543;23.77443751;2.664980963;21.10945655;1.584962501;0.177665398;1.407297103;21.76807867;1.451205244;91.56085673;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0;0;0;0;0;0;8162;10633;2353;100;35.55555556;?;0;0;0;0;-351.8830511;-391.1189535;-403.4647617;-370.0541018;-347.0541018
iris;2;2;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;12;3;0;80;20;0;0.7;0.139704469;0.333337171;31.43350555;70.71149218;23.77443751;16.32913924;7.445298272;1.584962501;1.088609283;0.496353218;17.16529328;1.144352885;72.20062839;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.8;0.1;0.9;0.2;0.805555556;0.8;0.797979798;0.703450687;0.96;0.912619048;0.797979798;0.8;0;0;0;0;0;0;8164;10633;2353;86.66666667;40;?;0;0;0;0;-361.4262972;-398.8987102;-411.8827034;-378.4720435;-355.4720435
